iter,train_loss,val_loss,lr,ms_per_iter
0,9.8523,9.8482,7.500e-07,35541
500,3.7095,3.6459,2.999e-04,42171
1000,2.7610,2.7952,2.959e-04,42187
1500,2.5174,2.5838,2.863e-04,42195
2000,2.3975,2.4684,2.715e-04,42182
2500,2.3472,2.4230,2.523e-04,42176
3000,2.2661,2.3894,2.293e-04,42203
3500,2.1853,2.3468,2.035e-04,42200
4000,2.1583,2.3300,1.761e-04,42199
4500,2.0796,2.3281,1.483e-04,42205
5000,2.0766,2.3086,1.212e-04,42200
5500,2.0337,2.2953,9.590e-05,42193
6000,2.0036,2.2782,7.357e-05,42190
6500,1.9439,2.2834,5.513e-05,42206
7000,1.9455,2.2759,4.137e-05,42174
7500,1.9287,2.3385,3.287e-05,42191
8000,1.9437,2.2880,3.000e-05,42194
